Id,X_Disp,Y_Disp
79,0.03955112,-4.5344806
80,0.06486843,-4.7237606
81,0.08810935,-4.8995466
82,0.1099531,-5.062464
83,0.12994935,-5.2136245
84,0.14884119,-5.35387
85,0.16629662,-5.483821
86,0.18263139,-5.6044903
87,0.19769531,-5.7158566
88,0.21122302,-5.820245
89,0.22386298,-5.9169602
90,0.23612146,-6.0138025
91,0.22992216,-6.123789
92,0.1844511,-6.2653933
93,0.1416884,-6.4216685
94,0.05712722,-6.5104036
95,0.02214913,-6.539055
96,0.0054996754,-6.5405893
97,-0.0044487636,-6.540177
98,-0.019766146,-6.5376053
99,-0.054398276,-6.5093007
100,-0.13498767,-6.423486
101,-0.18473756,-6.266176
102,-0.23012805,-6.1216
103,-0.23573066,-6.012041
104,-0.22355352,-5.915233
105,-0.21110685,-5.818456
106,-0.19737054,-5.7142315
107,-0.18241884,-5.602832
108,-0.16604125,-5.482233
109,-0.14861979,-5.3523073
110,-0.1297264,-5.2121143
111,-0.10974714,-5.0610075
112,-0.08790963,-4.8981395
113,-0.06468267,-4.7224092
114,-0.039376024,-4.5331817
115,-0.012358021,-4.3289304
116,0.016959187,-4.109135
117,0.048349556,-3.871849
118,0.082315765,-3.6166236
119,0.118731566,-3.3410316
120,0.15807855,-3.0447466
121,0.20028977,-2.724774
122,0.24580598,-2.3809335
123,0.2947029,-2.009597
124,0.34714955,-1.6111598
125,0.40339568,-1.1791124
126,0.44874105,-0.7270844
127,0.29817256,-0.31782007
128,0.0,0.0
129,0.0,0.0
130,-0.1762239,-0.25300646
131,-0.22561215,-0.69026923
132,-0.16930196,-1.1490693
133,-0.112513684,-1.5780337
134,-0.06009144,-1.978359
135,-0.010752872,-2.3485787
136,0.034853626,-2.6933198
137,0.077442855,-3.0125237
138,0.116811834,-3.3095117
139,0.1535508,-3.584538
140,0.18749917,-3.8402941
141,0.21918997,-4.077167
142,0.24841404,-4.297369
143,0.27575818,-4.501345
144,0.3008817,-4.690863
145,0.3244774,-4.866477
146,0.34609836,-5.0295196
147,0.36650544,-5.180675
148,0.3851907,-5.32087
149,0.4027145,-5.45092
150,0.41879123,-5.571183
151,0.4337404,-5.68312
152,0.4480288,-5.7862854
153,0.46138135,-5.8832383
154,0.4685394,-5.969772
155,0.46663374,-6.0444074
156,0.45094797,-6.1106405
157,0.38896522,-6.197836
158,0.26507887,-6.3074017
159,0.14067984,-6.404362
160,0.037811216,-6.45308
161,-0.032935333,-6.4529405
162,-0.13644187,-6.4060354
163,-0.26400697,-6.3092885
164,-0.38916317,-6.1945953
165,-0.45030484,-6.108407
166,-0.46715963,-6.042713
167,-0.46833915,-5.9680448
168,-0.46108526,-5.8814464
169,-0.44756815,-5.784649
170,-0.43348786,-5.6814394
171,-0.41843504,-5.5695724
172,-0.4024204,-5.449339
173,-0.3848784,-5.3193374
174,-0.3662139,-5.179191
175,-0.34581664,-5.0280833
176,-0.32421157,-4.865095
177,-0.30062312,-4.689532
178,-0.27551633,-4.500069
179,-0.24818651,-4.296147
180,-0.2189796,-4.0760083
181,-0.18730365,-3.839192
182,-0.15336862,-3.5835
183,-0.1166503,-3.3085384
184,-0.07729438,-3.0116277
185,-0.034730747,-2.692462
186,0.010871347,-2.3478134
187,0.06016703,-1.9776864
188,0.11260037,-1.5774193
189,0.16931398,-1.1485782
190,0.22561572,-0.6898544
191,0.17605965,-0.25259018
192,0.0,0.0
193,0.0,0.0
194,-0.07114742,-0.22372055
195,-0.054749846,-0.66571975
196,0.0049982164,-1.1251361
197,0.061706163,-1.5542324
198,0.1150234,-1.953598
199,0.16412573,-2.3246448
200,0.21020643,-2.6686249
201,0.25271177,-2.9884405
202,0.29238603,-3.284781
203,0.32907262,-3.5603404
204,0.36329627,-3.8155522
205,0.39487332,-4.052848
206,0.4244061,-4.2726326
207,0.45154646,-4.4769177
208,0.4770286,-4.6661744
209,0.500346,-4.841972
210,0.52230775,-5.0049353
211,0.5423744,-5.156181
212,0.5612576,-5.296384
213,0.57846844,-5.4263144
214,0.59453166,-5.5468144
215,0.60937667,-5.658105
216,0.6223239,-5.76166
217,0.6280626,-5.8538437
218,0.6207136,-5.9343176
